index,value,error
1,0.170260726,0.0024232788
2,0.165690948,0.0022342979
3,0.159885838,0.0020789841
4,0.153204032,0.0019480683
5,0.145945035,0.0018356348
6,0.138358886,0.0017377016
7,0.130646742,0.0016514597
8,0.122969973,0.0015748559
9,0.115451082,0.0015063343
10,0.108187924,0.0014446951
11,0.101246917,0.0013889766
12,0.094670498,0.0013383944
13,0.088482013,0.0012922983
14,0.082695669,0.0012501496
15,0.077304724,0.0012114783
16,0.072300854,0.00117589
17,0.067664831,0.0011430383
18,0.063371471,0.0011126197
19,0.059399339,0.0010843769
20,0.055721349,0.0010580794
21,0.052309763,0.0010335245
22,0.049140943,0.0010105379
23,0.046195514,0.00098897
24,0.043448855,0.0009686817
25,0.040885514,0.0009495584
26,0.038491948,0.0009314994
27,0.036249483,0.0009144085
28,0.034146159,0.0008982057
29,0.032169552,0.0008828179
30,0.030297141,0.000868168
31,0.028512935,0.000854192
32,0.026781222,0.0008408111
33,0.02507018,0.0008279558
34,0.023328023,0.0008155414
35,0.021485261,0.0008034712
36,0.019461621,0.0007916428
37,0.017146991,0.00077993
